"","anon_id","follow_date","follow_score","follow_income","advisor_id","branch_id","baseline_income","client_type","area","in_01","in_02","in_03","in_04","in_05","in_06","in_07","in_08","in_09","in_10","in_11","in_12","in_13","in_14","in_15","in_16","in_17","in_18","in_19","in_20","in_21","in_22","in_23","in_24","in_25","in_26","in_27","in_28","in_29","in_30","in_31","in_32","in_33","in_34","in_35","in_36","in_37","in_38","in_39","in_40","in_41","in_42","in_43","in_44","in_45","in_46","in_47","in_48","in_49","in_50","base_score","base_date","change","improve","remove"
"1",338560,2016-06-22,150,1280,1246,19,1440.8,"Sorteado","Urban",3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2015-08-24,4,1,0
"2",346231,2017-01-06,142,470,1612,21,383.3333333,"Sorteado","Urban",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2016-06-07,-6,0,0
"3",454816,2016-07-28,147,2308,1164,15,2791.333333,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,145,2015-11-19,2,1,0
"4",458852,2016-09-01,133,672.2222222,948,2,593.8888889,"Sorteado","Metropolitan",2,3,3,1,3,3,3,3,3,3,2,3,3,3,3,1,1,3,1,3,2,2,3,3,3,2,2,3,3,3,1,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,129,2016-06-10,4,1,0
"5",464240,2017-01-06,150,2616.666667,1367,25,1200,"Sorteado","Rural",3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,137,2015-11-03,13,1,0
"6",473635,2016-10-18,150,1866.666667,1514,15,300,"Sorteado","Urban",2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-08-24,4,1,0
"7",493484,2016-11-26,150,746.6666667,1258,4,640,"Sorteado","Urban",3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,145,2016-10-19,5,1,0
"8",510541,2016-12-30,148,675,1533,13,533.3333333,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,150,2016-12-13,-2,0,0
"9",563416,2016-11-21,150,3400,1436,19,3400,"Sorteado","Urban",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2016-10-07,2,1,0
"10",565308,2017-01-06,145,4000,1261,22,333.344,"Sorteado","Urban",2,2,3,3,1,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,140,2016-07-06,5,1,0
"11",584306,2017-01-06,143,1025,509,8,335.7142857,NA,"Rural",2,3,3,1,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,143,2016-01-07,0,0,0
"12",601517,2016-10-27,150,2666.666667,1280,7,2666.666667,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,147,2016-05-20,3,1,0
"13",605499,2016-11-22,145,510,1436,19,220,"Sorteado","Rural",1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-07-19,-1,0,0
"14",612072,2017-05-29,150,1840,948,2,1840,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,149,2017-02-20,1,1,0
"15",620003,2016-10-22,149,480,1565,26,440,"Sorteado","Urban",2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148,2016-09-14,1,1,0
"16",624200,2016-07-22,149,606.6666667,1612,21,366.6666667,"Sorteado","Rural",2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,147,2016-05-25,2,1,0
"17",643268,2016-12-27,140,815,1261,22,360,"Sorteado","Rural",2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,146,2016-07-08,-6,0,0
"18",649293,2016-07-29,147,333.3333333,1327,25,160,"Sorteado","Urban",1,2,3,3,3,2,3,3,3,3,3,3,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,138,2016-05-04,9,1,0
"19",657089,2017-01-04,150,670.500625,871,13,74.992,"Sorteado","Metropolitan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,149,2016-12-23,1,1,0
